time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1349568000,12.62,11.7,12.51,63512.03,762812.96,11.8,direct,
1349654400,11.95,10.62,11.8,97938.4,1102329.22,11.78,direct,
1349740800,12.35,11.57,11.78,46768.8,559694.91,11.9,direct,
1349827200,12.19,11.77,11.9,27722.07,333351.59,12.12,direct,
1349913600,12.15,11.86,12.12,19831.64,238483.07,12.03,direct,
1350000000,12.15,11.92,12.03,21538.03,259522.53,12,direct,
1350086400,12.11,11.85,12,11861.68,141870.31,11.86,direct,
1350172800,12.03,11.5,11.86,22891.1,271135.83,11.74,direct,
1350259200,11.99,11.43,11.74,27101.72,317633.19,11.84,direct,
1350345600,11.99,11.5,11.84,41184.66,485720.72,11.85,direct,
1350432000,11.96,11.7,11.85,23553.36,279774.85,11.81,direct,
1350518400,11.96,11.75,11.81,21880.84,259855.62,11.94,direct,
1350604800,11.97,11.62,11.94,23177.45,272640.88,11.74,direct,
1350691200,11.85,11.56,11.74,22110.92,259113.16,11.74,direct,
1350777600,11.77,11.61,11.74,9375.52,109479.89,11.63,direct,
1350864000,11.81,11.47,11.63,37622.03,440140.37,11.71,direct,
1350950400,12,11.41,11.71,54344.49,637306,11.65,direct,
1351036800,11.79,11.59,11.65,21764.66,254132.03,11.65,direct,
1351123200,11.7,10.52,11.65,84704.86,934190.95,10.86,direct,
1351209600,10.95,9.74,10.86,98994.7,1020616.67,10.17,direct,
1351296000,10.84,9.822,10.17,47869.83,496747.54,10.26,direct,
1351382400,10.95,10.25,10.26,22389.59,236640.5,10.7,direct,
1351468800,10.94,10.32,10.7,37574.81,400173.5,10.6,direct,
1351555200,10.89,10.58,10.6,26023.32,279843.08,10.89,direct,
1351641600,11.21,10.71,10.89,40673.45,448359.79,11.2,direct,
1351728000,11.28,10.4,11.2,50362.1,550327.49,10.57,direct,
1351814400,10.8,10.33,10.57,24485.26,258957.79,10.47,direct,
1351900800,10.65,10.4,10.47,16732.94,176345.08,10.64,direct,
1351987200,10.9,10.51,10.64,16750.34,178761.66,10.8,direct,
1352073600,10.88,10.61,10.8,21776.74,233650.36,10.75,direct,
1352160000,10.9,10.67,10.75,26995.3,291515.94,10.9,direct,
1352246400,11.22,10.8,10.9,31733.85,348474.7,10.92,direct,
1352332800,11.07,10.75,10.92,26058.85,284556.11,10.93,direct,
1352419200,10.98,10.79,10.93,14727.12,159984.85,10.82,direct,
1352505600,10.96,10.75,10.82,13490.45,146349.26,10.89,direct,
1352592000,10.94,10.7,10.89,12625.48,136448.09,10.87,direct,
1352678400,11.18,10.77,10.87,39217.17,431080.47,11.01,direct,
1352764800,11.13,10.92,11.01,16757.51,184368.79,10.95,direct,
1352851200,11.05,10.82,10.95,24543.09,268636.84,10.95,direct,
1352937600,11.3,10.86,10.95,31901.17,353356.16,11.2,direct,
1353024000,11.8,11.17,11.2,58253.16,669422.19,11.75,direct,
1353110400,11.8,11.52,11.75,19105.45,223039.47,11.79,direct,
1353196800,11.83,11.62,11.79,15514.15,181716.98,11.65,direct,
1353283200,11.84,11.6,11.65,25197.92,295260.75,11.8,direct,
1353369600,11.8,11.57,11.8,27220.18,318291.25,11.73,direct,
1353456000,11.78,11.64,11.73,19227.8,225308.73,11.77,direct,
1353542400,12.43,11.67,11.77,58301.3,703582.88,12.42,direct,
1353628800,12.41,12.13,12.42,18967.9,233370.93,12.35,direct,
1353715200,12.48,12.25,12.35,19570.39,242058.59,12.41,direct,
1353801600,12.6,12.31,12.41,24023.69,299989.4,12.48,direct,
1353888000,12.65,11.89,12.48,35913.82,443753.07,12.25,direct,
1353974400,12.34,11.9,12.25,33194.69,401692.08,12.2,direct,
1354060800,12.41,12.1,12.2,30688.21,376900.98,12.35,direct,
1354147200,12.6,12.15,12.35,26505.34,329552.64,12.45,direct,
1354233600,12.65,12.42,12.45,24350.31,305812.61,12.57,direct,
1354320000,12.69,12.46,12.57,14696.42,184860.98,12.56,direct,
1354406400,12.68,12.43,12.56,14011.93,176013.47,12.5,direct,
1354492800,12.68,12.48,12.5,26759.6,336294.7,12.68,direct,
1354579200,13.5,12.62,12.68,63245.72,823838.19,13.41,direct,
1354665600,13.42,13.15,13.41,29794.93,395716.07,13.38,direct,
1354752000,13.69,12.9,13.38,46562.54,623136.59,13.3,direct,
1354838400,13.55,12.98,13.3,32799.57,437726.61,13.5,direct,
1354924800,13.55,13.35,13.5,13171.51,177338.38,13.42,direct,
