time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1601102280,10768.5,10763.94,10768.5,2.606,28029.8,10764.2,direct,
1601102340,10765.33,10763.68,10764.2,2.721,29288.04,10763.71,direct,
1601102400,10767.52,10763.11,10763.71,7.649,82311.51,10766.28,direct,
1601102460,10766.51,10764.26,10766.28,1.869,20115.57,10765.13,direct,
1601102520,10765.89,10764.23,10765.13,5.964,64183.35,10765.28,direct,
1601102580,10765.28,10762.71,10765.28,1.57,16881.15,10762.94,direct,
1601102640,10766.41,10762.94,10762.94,11.15,120817.3,10764.57,direct,
1601102700,10766.17,10764.53,10764.57,3.175,34172.07,10765.46,direct,
1601102760,10766.49,10764.57,10765.46,2.476,26652.19,10764.78,direct,
1601102820,10765.92,10764.51,10764.78,1.079,11604.73,10764.51,direct,
1601102880,10764.51,10761.42,10764.51,3.827,41169.06,10761.62,direct,
1601102940,10763.23,10761.45,10761.62,1.15,12366.22,10763.11,direct,
1601103000,10764.93,10763.11,10763.11,2.587,27829.68,10764.77,direct,
1601103060,10764.77,10762.08,10764.77,5.192,55858.41,10762.57,direct,
1601103120,10762.84,10761.87,10762.57,4.319,46491.58,10761.96,direct,
1601103180,10764.17,10759.02,10760.91,838.77,9024595.68,10759.32,invert_divide,ETH
1601103240,10762.62,10757.27,10758.58,6.466,69528.32,10758.98,direct,
1601103300,10758.98,10744.9,10758.98,29.6,318746.61,10745.99,direct,
1601103360,10748.59,10745.66,10745.99,4.866,52254.42,10746.97,direct,
1601103420,10746.97,10741.68,10746.97,1.908,20493.14,10742.42,direct,
1601103480,10746.12,10742.13,10742.42,6.01,64561.11,10743.95,direct,
1601103540,10744.49,10741.88,10743.95,10.51,114161.26,10742.92,direct,
1601103600,10744.31,10742.5,10742.92,8.614,93467.32,10743.52,direct,
1601103660,10743.52,10740.38,10743.52,7.307,78954.99,10742.45,direct,
1601103720,10742.45,10738.06,10742.45,4.086,43865.67,10738.06,direct,
1601103780,10741.37,10738,10738.06,2.301,24698.79,10741.37,direct,
1601103840,10734.93,10726.75,10738.02,165.26,1773804.02,10733.41,invert_divide,ETH
1601103900,10743.88,10739.07,10739.35,5.469,58739.87,10742.38,direct,
1601103960,10742.46,10736.93,10742.38,9.393,100907.95,10738.33,direct,
1601104020,10738.78,10737.54,10738.33,1.521,16325,10737.87,direct,
1601104080,10738.19,10734.76,10737.87,3.405,36546.35,10735.03,direct,
1601104140,10735.11,10732.67,10735.03,2.048,21995.3,10733.37,direct,
1601104200,10733.39,10728.9,10733.37,14.58,156473.82,10728.9,direct,
1601104260,10734.76,10726.99,10728.9,29.46,316992.77,10731.89,direct,
1601104320,10731.89,10729.08,10731.89,16.79,180540.63,10729.76,direct,
1601104380,10729.85,10726.73,10729.76,4.939,52964.53,10726.73,direct,
1601104440,10727.16,10721.4,10725.26,1178.08,12636382.83,10726.25,invert_divide,ETH
1601104500,10730.22,10713.25,10726.25,1258.82,13506272.42,10729.31,invert_divide,ETH
1601104560,10732.71,10727.75,10732.71,4.253,45622.66,10727.75,direct,
1601104620,10728.96,10726.42,10727.75,3.428,36781.9,10726.42,direct,
1601104680,10726.59,10725.15,10726.42,2.941,31528.88,10725.7,direct,
1601104740,10726.6,10725.7,10725.7,2.481,26619.28,10726.6,direct,
1601104800,10727.52,10726.02,10726.6,2.139,22933.96,10727.51,direct,
1601104860,10727.51,10726.22,10727.51,2.632,28227.79,10726.22,direct,
1601104920,10726.22,10725.01,10726.22,9.828,106108.26,10725.73,direct,
1601104980,10727.9,10725.73,10725.73,8.685,93481.45,10727.74,direct,
1601105040,10727.74,10722.35,10727.74,5.589,59919.28,10722.44,direct,
1601105100,10722.45,10720.03,10722.44,20.69,221695.63,10720.04,direct,
1601105160,10720.51,10718.03,10720.04,14.25,152738.87,10720.5,direct,
1601105220,10722,10705.01,10718.02,197.16,2113950.12,10722,invert_divide,ETH
1601105280,10727.86,10720.34,10721.86,37.02,396911.7,10727.69,direct,
1601105340,10732.7,10727.67,10727.69,3.736,40079.82,10732.48,direct,
1601105400,10732.48,10719.14,10728.02,178.21,1910257.69,10719.14,invert_divide,ETH
1601105460,10732.46,10718.19,10719.14,266.44,2855916.39,10718.8,invert_divide,ETH
1601105520,10732.71,10726.42,10728.17,16.91,181335.31,10732.56,direct,
1601105580,10732.63,10730.35,10732.56,4.519,48467,10731.46,direct,
1601105640,10731.46,10730.37,10731.46,1.275,13669.66,10730.42,direct,
1601105700,10730.42,10723.32,10730.42,11.53,123686.1,10723.32,direct,
1601105760,10723.32,10719.56,10723.32,9.759,104592.46,10720.32,direct,
1601105820,10720.41,10709.34,10720.32,36.18,387349.2,10709.34,direct,
1601105880,10709.34,10704.28,10709.34,7.658,81966.98,10706,direct,
1601105940,10717.24,10706,10706,8.263,88468.32,10717.24,direct,
1601106000,10717.78,10712.68,10717.24,8.498,91049.76,10712.68,direct,
1601106060,10713.51,10712.42,10712.68,2.187,23419.66,10712.44,direct,
1601106120,10712.46,10707.31,10712.44,4.769,51053.39,10708.11,direct,
1601106180,10708.11,10703.63,10708.11,7.089,75877.64,10704.04,direct,
1601106240,10705.85,10703.45,10704.04,9.815,106238.36,10705.3,direct,
1601106300,10716.47,10702.13,10705.3,22.37,239496.47,10716.18,direct,
1601106360,10716.7,10712.84,10716.18,5.937,63554.08,10713.18,direct,
1601106420,10713.84,10710.47,10713.18,5.998,64208,10710.47,direct,
1601106480,10713.22,10708.65,10710.47,37.18,398141.36,10713.22,direct,
1601106540,10717.81,10713.22,10713.22,8.783,94064.03,10717.71,direct,
1601106600,10723.03,10717.45,10717.71,12.51,134088.82,10722.61,direct,
1601106660,10723.51,10721.33,10722.61,24.25,259901.98,10722.04,direct,
1601106720,10722.04,10714.55,10722.04,8.133,87086.43,10714.71,direct,
1601106780,10716.2,10714.68,10714.71,1.113,11923.31,10715.76,direct,
1601106840,10716.07,10715.02,10715.76,5.982,64076.83,10715.33,direct,
1601106900,10736.1,10701.89,10713.2,867.61,9291695,10709.53,invert_divide,ETH
1601106960,10714.81,10712.22,10712.22,9.059,97028.63,10714.03,direct,
1601107020,10717.53,10714.03,10714.03,4.013,42982.88,10716.05,direct,
1601107080,10718.9,10714.41,10716.05,2.76,29561.57,10718.32,direct,
1601107140,10718.34,10715.37,10718.32,15.06,163105.24,10715.94,direct,
1601107200,10718.05,10710.08,10715.94,39.25,422030.15,10711.78,direct,
1601107260,10711.85,10710.41,10711.78,2.177,23311.86,10710.72,direct,
